index,city,1,2,3,4,state,min_fare,max_fare,min_quarter,max_quarter,Q1_relative_to_min,Q2_relative_to_min,Q3_relative_to_min,Q4_relative_to_min,max_relative
87,Worcester,0.17,0.15,0.12,,MA,0.12,0.17,3,1,1.4166666666666667,1.25,1.0,,1.4166666666666667
17,Fresno,,,0.13,0.22,CA,0.13,0.22,3,4,,,1.0,1.6923076923076923,1.6923076923076923
0,Boston,0.19,0.24,0.22,0.22,MA,0.19,0.24,1,2,1.0,1.263157894736842,1.1578947368421053,1.1578947368421053,1.263157894736842
15,Fayetteville,,0.52,0.33,0.47,AR,0.33,0.52,3,2,,1.5757575757575757,1.0,1.424242424242424,1.5757575757575757
19,Greensboro/High Point,,0.44,0.33,0.39,NC,0.33,0.44,3,2,,1.3333333333333333,1.0,1.1818181818181819,1.3333333333333333
35,Medford,0.36,0.57,0.45,0.34,OR,0.34,0.57,4,2,1.0588235294117645,1.676470588235294,1.3235294117647058,1.0,1.676470588235294
29,Knoxville,0.52,0.45,0.34,0.39,TN,0.34,0.52,3,1,1.5294117647058822,1.3235294117647058,1.0,1.1470588235294117,1.5294117647058822
12,Des Moines,0.38,0.36,0.47,0.36,IA,0.36,0.47,2,3,1.0555555555555556,1.0,1.3055555555555556,1.0,1.3055555555555556
78,Tallahassee,0.68,,0.46,0.52,FL,0.46,0.68,3,1,1.4782608695652175,,1.0,1.1304347826086956,1.4782608695652175
63,Rochester,0.46,0.59,0.53,0.61,NY,0.46,0.61,1,4,1.0,1.2826086956521738,1.1521739130434783,1.326086956521739,1.326086956521739
77,Syracuse,0.57,0.49,0.62,0.52,NY,0.49,0.62,2,3,1.163265306122449,1.0,1.2653061224489797,1.0612244897959184,1.2653061224489797
31,Little Rock,0.68,0.55,0.51,0.69,AR,0.51,0.69,3,4,1.3333333333333335,1.0784313725490198,1.0,1.352941176470588,1.352941176470588
57,Portland,0.67,0.53,0.54,0.79,ME,0.53,0.79,2,4,1.2641509433962264,1.0,1.0188679245283019,1.490566037735849,1.490566037735849
