index,city,1,2,3,4,state,total,min_passengers,max_passengers,min_quarter,max_quarter,Q1_relative_to_min,Q2_relative_to_min,Q3_relative_to_min,Q4_relative_to_min,max_relative
73,Seattle,22164.0,30438.0,33602.0,26840.0,WA,113044.0,22164.0,33602.0,1,3,1.0,1.3733080671358961,1.5160620826565603,1.2109727486013355,1.5160620826565603
5,Chicago,8919.0,14288.0,14923.0,12976.0,IL,51106.0,8919.0,14923.0,1,3,1.0,1.6019733153941025,1.673169637851777,1.4548716223791904,1.673169637851777
85,West Palm Beach/Palm Beach,12697.0,10864.0,7445.0,10930.0,FL,41936.0,7445.0,12697.0,3,1,1.7054398925453325,1.4592343854936198,1.0,1.468099395567495,1.7054398925453325
16,Fort Myers,6658.0,5029.0,3362.0,5298.0,FL,20347.0,3362.0,6658.0,3,1,1.9803688280785248,1.4958358120166568,1.0,1.5758477096966093,1.9803688280785248
0,Boston,3076.0,4475.0,4831.0,3918.0,MA,16300.0,3076.0,4831.0,1,3,1.0,1.45481144343303,1.5705461638491547,1.2737321196358908,1.5705461638491547
46,Norfolk,2888.0,4567.0,4706.0,3833.0,VA,15994.0,2888.0,4706.0,1,3,1.0,1.581371191135734,1.6295013850415512,1.3272160664819945,1.6295013850415512
7,Cleveland,2315.0,3579.0,3470.0,2980.0,OH,12344.0,2315.0,3579.0,1,2,1.0,1.5460043196544277,1.4989200863930885,1.287257019438445,1.5460043196544277
71,Sarasota/Bradenton,3249.0,2558.0,1546.0,2361.0,FL,9714.0,1546.0,3249.0,3,1,2.1015523932729625,1.6545924967658474,1.0,1.5271668822768434,2.1015523932729625
81,Tucson,2150.0,1952.0,1413.0,2180.0,AZ,7695.0,1413.0,2180.0,3,4,1.521585279547063,1.3814578910120312,1.0,1.5428167020523709,1.5428167020523709
33,Louisville,1308.0,2035.0,1886.0,1879.0,KY,7108.0,1308.0,2035.0,1,2,1.0,1.555810397553517,1.4418960244648318,1.4365443425076452,1.555810397553517
82,Tulsa,1333.0,1991.0,1319.0,1887.0,OK,6530.0,1319.0,1991.0,3,2,1.0106141015921153,1.5094768764215314,1.0,1.4306292645943897,1.5094768764215314
4,Charlotte,1172.0,1701.0,1838.0,1799.0,NC,6510.0,1172.0,1838.0,1,3,1.0,1.4513651877133107,1.568259385665529,1.5349829351535835,1.568259385665529
3,Charleston,648.0,1019.0,875.0,776.0,SC,3318.0,648.0,1019.0,1,2,1.0,1.5725308641975309,1.3503086419753085,1.1975308641975309,1.5725308641975309
41,Myrtle Beach,287.0,1061.0,1237.0,370.0,SC,2955.0,287.0,1237.0,1,3,1.0,3.696864111498258,4.310104529616725,1.289198606271777,4.310104529616725
57,Portland,294.0,825.0,1275.0,452.0,ME,2846.0,294.0,1275.0,1,3,1.0,2.806122448979592,4.336734693877551,1.5374149659863945,4.336734693877551
50,Palm Springs,1164.0,562.0,,754.0,CA,2480.0,562.0,1164.0,2,1,2.0711743772241995,1.0,,1.3416370106761566,2.0711743772241995
59,Provo,289.0,688.0,560.0,915.0,UT,2452.0,289.0,915.0,1,4,1.0,2.3806228373702423,1.9377162629757785,3.1660899653979238,3.1660899653979238
29,Knoxville,195.0,551.0,552.0,746.0,TN,2044.0,195.0,746.0,1,4,1.0,2.825641025641026,2.830769230769231,3.825641025641026,3.825641025641026
86,Wilmington,352.0,549.0,542.0,467.0,NC,1910.0,352.0,549.0,1,2,1.0,1.5596590909090908,1.5397727272727273,1.3267045454545454,1.5596590909090908
31,Little Rock,239.0,508.0,520.0,256.0,AR,1523.0,239.0,520.0,1,3,1.0,2.1255230125523012,2.1757322175732217,1.0711297071129706,2.1757322175732217
2,Buffalo,273.0,413.0,448.0,369.0,NY,1503.0,273.0,448.0,1,3,1.0,1.5128205128205128,1.641025641025641,1.3516483516483517,1.641025641025641
74,Sioux Falls,499.0,322.0,231.0,333.0,SD,1385.0,231.0,499.0,3,1,2.16017316017316,1.393939393939394,1.0,1.4415584415584415,2.16017316017316
18,Grand Rapids,202.0,291.0,541.0,284.0,MI,1318.0,202.0,541.0,1,3,1.0,1.4405940594059405,2.6782178217821784,1.4059405940594059,2.6782178217821784
12,Des Moines,230.0,275.0,521.0,277.0,IA,1303.0,230.0,521.0,1,3,1.0,1.1956521739130435,2.265217391304348,1.2043478260869565,2.265217391304348
51,Panama City,198.0,398.0,431.0,219.0,FL,1246.0,198.0,431.0,1,3,1.0,2.01010101010101,2.176767676767677,1.106060606060606,2.176767676767677
83,Valparaiso,197.0,398.0,409.0,231.0,FL,1235.0,197.0,409.0,1,3,1.0,2.020304568527919,2.0761421319796955,1.1725888324873097,2.0761421319796955
